quote,weightage,currentPrice
BAJAJ-AUTO,1.00,3430.05
HINDUNILVR,2.00,2330.00
MARUTI,3.00,8180.00
HEROMOTOCO,4.00,2752.00
HDFCBANK,5.00,1527.70
HDFC,6.00,2599.80
NESTLEIND,7.00,18945.05
HINDALCO,8.00,507.60
TCS,9.00,3840.00
BRITANNIA,10.00,3616.00
KOTAKBANK,1.00,1897.00
TATACONSUM,1.00,724.65
ICICIBANK,1.00,810.65
SBILIFE,1.00,1239.00
POWERGRID,1.00,214.70
RELIANCE,1.00,2476.05
HCLTECH,1.00,1169.00
NTPC,1.00,134.15
ITC,1.00,217.30
M&M,1.00,874.00
ASIANPAINT,1.00,3278.00
EICHERMOT,1.00,2710.00
HDFCLIFE,1.00,643.25
SUNPHARMA,2.00,808.70
WIPRO,2.00,605.50
ULTRACEMCO,2.00,7359.00
SBIN,2.00,504.05
TITAN,2.00,2525.00
ONGC,2.00,164.00
CIPLA,2.00,867.30
ADANIPORTS,1.00,724.85
AXISBANK,1.00,714.90
DRREDDY,1.00,4501.50
INFY,1.00,1788.00
GRASIM,1.00,1794.40
LT,1.00,1963.50
BAJFINANCE,1.00,7372.85
TATAMOTORS,1.00,504.85
JSWSTEEL,1.00,666.80
INDUSINDBK,0.50,857.00
UPL,2.00,787.85
BPCL,0.50,382.00
BHARTIARTL,0.50,694.40
IOC,0.50,121.70
TATASTEEL,2.50,1169.10
DIVISLAB,0.50,4189.00
COALINDIA,0.50,158.95
SHREECEM,0.50,24900.00
TECHM,0.50,1590.00
BAJAJFINSV,0.50,16379.95